Date,Fare,Notes,_page
through 6/30/48,$0.05,,6
7/1/48,$0.10,$0.02 transfer to bus introduced.,6
7/1/50,$0.10,Transfer to bus raised to $0.05.,6
7/1/52,$0.10,Reduced-rate transfer to bus eliminated.,6
7/25/53,$0.15,Subway tokens introduced.,6
7/5/66,$0.20,,6
1/4/70,$0.30,,6
1/5/72,$0.35,,6
9/1/75,$0.50,Double-fare for Rockaways line discontinued.,6
6/28/80,$0.60,,6
7/3/81,$0.75,,6
1/2/84,$0.90,,6
1/1/86,$1.00,,6
1/1/90,$1.15,,6
1/1/92,$1.25,,6
1/6/94,$1.25,MetroCard introduced.,6
11/12/95,$1.50,,6
